#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T17:39+0000 #
#####################################################################
#
# seed = 442.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.6274958967776807 2 10.984000418570965 7.701795662641773 1.0 0.22109864510052665 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.6274958967776807 2 10.984000418570965 7.701795662641773 1.0 0.22109864510052665 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.71e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.6274958967776807 2 10.984000418570965 7.701795662641773 1.0 0.22109864510052665 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.71e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.6274958967776807 5 12.966495025768875 4.230586886512835 3.0 0.08374142756996193 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.627495896777681 5 12.966495025768875 4.230586886512835 3.0 0.08374142756996193 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 15.0 4.91 49.1 0.00 7.00 0.150 0.105 0.000748 0.100 0.0273
5.627495896777681 5 12.966495025768875 4.230586886512835 3.0 0.08374142756996193 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
6.627495896777681 5 12.966495025768875 4.230586886512835 3.0 0.08374142756996193 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
7.627495896777681 8 13.917787610302689 4.4962177519009705 5.0 0.0752166482983573 3.0 3.0 3.0 6.0 3.3 3.4 3.5 1.8 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.29e-07 0.100 0.000655 37.0 16.7 305 11.5 17.5 0.150 0.103 0.000434 0.100 0.0208
8.627495896777681 8 13.917787610302689 4.4962177519009705 5.0 0.0752166482983573 3.0 3.0 3.0 6.0 3.3 3.4 3.5 1.8 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.29e-07 0.100 0.000655 37.0 16.7 305 11.5 17.5 0.150 0.109 0.000702 0.100 0.0265
