#####################################################################
# Alchemist log file - simulation started at: 2025-03-04T17:02+0000 #
#####################################################################
#
# seed = 83.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.24772347906726266 2 10.781728137088402 7.625362949904913 1.0 1.0 1.0 1.0 0.27 0.27 0.0 0.27 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.2477234790672627 2 10.781728137088402 7.625362949904913 1.0 1.0 1.0 1.0 0.27 0.27 0.0 0.27 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.247723479067263 2 10.781728137088402 7.625362949904913 1.0 1.0 1.0 1.0 0.27 0.27 0.0 0.27 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.247723479067263 5 11.162248326711897 3.3473491822969663 3.0 2.0 2.0 2.0 0.67 0.30 0.062 0.18 0.25 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.247723479067263 5 11.162248326711897 3.3473491822969663 3.0 2.0 2.0 2.0 0.67 0.30 0.062 0.18 0.25 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 15.0 4.91 49.1 0.00 7.00 0.150 0.105 0.000748 0.100 0.0273
5.247723479067263 5 11.162248326711897 3.3473491822969663 3.0 2.0 2.0 2.0 0.67 0.30 0.062 0.18 0.25 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
6.247723479067263 5 11.162248326711897 3.3473491822969663 3.0 2.0 2.0 2.0 0.67 0.30 0.062 0.18 0.25 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
7.247723479067263 8 9.258780615731817 2.3226308126274438 5.0 3.0 3.0 3.0 1.1 0.31 0.13 0.26 0.35 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 37.0 16.7 305 11.5 17.5 0.150 0.103 0.000434 0.100 0.0208
8.247723479067263 8 9.258780615731817 2.3226308126274438 5.0 3.0 3.0 3.0 1.1 0.31 0.13 0.26 0.35 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 37.0 16.7 305 11.5 17.5 0.150 0.109 0.000702 0.100 0.0265
9.247723479067263 8 9.258780615731817 2.3226308126274438 5.0 3.0 3.0 3.0 1.1 0.31 0.13 0.26 0.35 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 37.0 17.0 301 12.3 17.4 0.175 0.114 0.000956 0.100 0.0309
10.247723479067263 8 9.258780615731817 2.3226308126274438 5.0 3.0 3.0 3.0 1.1 0.31 0.13 0.26 0.35 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
11.247723479067263 8 9.258780615731817 2.3226308126274438 5.0 3.0 3.0 3.0 1.1 0.31 0.13 0.26 0.35 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
12.247723479067263 8 9.258780615731817 2.3226308126274438 5.0 3.0 3.0 3.0 1.1 0.31 0.13 0.26 0.35 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
13.247723479067263 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 15.7 7.64 43.2 5.74 6.57 0.175 0.110 0.000712 0.100 0.0267
14.247723479067263 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 15.7 7.64 43.2 5.74 6.57 0.175 0.115 0.000837 0.100 0.0289
15.247723479067263 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 15.7 7.64 43.2 5.74 6.57 0.175 0.117 0.00107 0.100 0.0327
16.24772347906726 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 15.7 7.94 46.4 5.74 6.81 0.188 0.119 0.00120 0.100 0.0346
17.24772347906726 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 12.8 5.99 15.4 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
18.24772347906726 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 12.8 5.99 15.4 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
19.24772347906726 11 8.143899127202108 3.6790028473671272 7.0 3.0 3.0 3.0 1.5 0.32 0.19 0.12 0.43 6.0 3.1 2.5 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.11e-07 0.100 0.000557 12.8 5.99 15.4 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
