#####################################################################
# Alchemist log file - simulation started at: 2025-03-04T17:02+0000 #
#####################################################################
#
# seed = 92.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.6279002733222729 2 11.272371816148636 7.848007908594778 1.0 1.0 1.0 1.0 0.18 0.18 0.0 0.18 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.627900273322273 2 11.272371816148636 7.848007908594778 1.0 1.0 1.0 1.0 0.18 0.18 0.0 0.18 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.71e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.6279002733222727 2 11.272371816148636 7.848007908594778 1.0 1.0 1.0 1.0 0.18 0.18 0.0 0.18 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.71e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.6279002733222727 5 13.560722924808127 4.126069285036838 3.0 2.0 2.0 2.0 0.46 0.18 0.033 0.097 0.18 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.627900273322273 5 13.560722924808127 4.126069285036838 3.0 2.0 2.0 2.0 0.46 0.18 0.033 0.097 0.18 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 15.0 4.91 49.1 0.00 7.00 0.150 0.105 0.000748 0.100 0.0273
5.627900273322273 5 13.560722924808127 4.126069285036838 3.0 2.0 2.0 2.0 0.46 0.18 0.033 0.097 0.18 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
6.627900273322273 5 13.560722924808127 4.126069285036838 3.0 2.0 2.0 2.0 0.46 0.18 0.033 0.097 0.18 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
7.627900273322273 8 16.020706149462683 4.238186469065817 5.0 3.0 3.0 3.0 0.73 0.21 0.055 0.14 0.23 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000658 37.0 16.7 305 11.5 17.5 0.150 0.103 0.000434 0.100 0.0208
8.627900273322272 8 16.020706149462683 4.238186469065817 5.0 3.0 3.0 3.0 0.73 0.21 0.055 0.14 0.23 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000658 37.0 16.7 305 11.5 17.5 0.150 0.109 0.000702 0.100 0.0265
9.627900273322272 8 16.020706149462683 4.238186469065817 5.0 3.0 3.0 3.0 0.73 0.21 0.055 0.14 0.23 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000658 37.0 17.0 301 12.3 17.4 0.175 0.114 0.000956 0.100 0.0309
10.627900273322272 8 16.020706149462683 4.238186469065817 5.0 3.0 3.0 3.0 0.73 0.21 0.055 0.14 0.23 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
11.627900273322272 8 16.020706149462683 4.238186469065817 5.0 3.0 3.0 3.0 0.73 0.21 0.055 0.14 0.23 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
12.627900273322272 8 16.020706149462683 4.238186469065817 5.0 3.0 3.0 3.0 0.73 0.21 0.055 0.14 0.23 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
13.627900273322272 11 16.579798705292827 5.998151903774751 7.0 4.0 4.0 4.0 1.0 0.23 0.077 0.12 0.28 6.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 6.30e-07 0.100 0.000793 15.7 7.64 43.2 5.74 6.58 0.175 0.111 0.000706 0.100 0.0266
14.627900273322272 11 16.579798705292827 5.998151903774751 7.0 4.0 4.0 4.0 1.0 0.23 0.077 0.12 0.28 6.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 6.30e-07 0.100 0.000793 15.7 7.64 43.2 5.74 6.58 0.175 0.115 0.000840 0.100 0.0290
15.627900273322272 11 16.579798705292827 5.998151903774751 7.0 4.0 4.0 4.0 1.0 0.23 0.077 0.12 0.28 6.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 6.30e-07 0.100 0.000793 15.7 7.64 43.2 5.74 6.58 0.176 0.118 0.00108 0.100 0.0329
16.627900273322272 11 16.579798705292827 5.998151903774751 7.0 4.0 4.0 4.0 1.0 0.23 0.077 0.12 0.28 6.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.102 0.100 6.30e-07 0.100 0.000793 15.7 7.94 46.5 5.74 6.82 0.188 0.119 0.00121 0.100 0.0347
